ID,ProjectTitle,Agency,Office,Date,Keywords,Status,DocumentTitle,DocumentType,Path
EIS-0015,U.S. Spent Fuel Policy,DOE,NE,1980,Spent Nuclear Fuel,Completed,"EIS-0015: Final Environmental Impact Statement, volume 5",EIS,DOE_EIS_016/EIS-0015-FEIS-volume5.pdf
EIS-0016,"Cumulative Production/Consumption Effects of the Crude Oil Price Incentive Rulemakings, Programmatic",DOE,ERA,1978,Petroleum Reserves,Completed,"EIS-0016: Final Environmental Impact Statement, Summary",EIS,DOE_EIS_017/EIS-0016-FEIS-Summary_0.pdf
EIS-0016,"Cumulative Production/Consumption Effects of the Crude Oil Price Incentive Rulemakings, Programmatic",DOE,ERA,1978,Petroleum Reserves,Completed,EIS-0016: Final Environmental Impact Statement,EIS,DOE_EIS_017/EIS-0016-FEIS.pdf
EIS-0017,"Fusion Materials Irradiation Testing Facility, Hanford Reservation, Richland, Washington",DOE,SC,1978,Nuclear Energy,Completed,EIS-0017: Final Environmental Impact Statement,EIS,DOE_EIS_018/EIS-0017-FEIS.pdf
EIS-0018,"Continued Operation of Los Alamos Scientific Laboratory Site, Los Alamos, New Mexico",DOE,NNSA,1979,DOE Site Operations,Completed,EIS-0018: Final Environmental Impact Statement,EIS,DOE_EIS_019/EIS-0018_FEIS.pdf
EIS-0020,"Crude Oil Transport Alternate From Naval Petroleum Reserve No. 1 Elk Hills/SOHIO Pipeline Connection Conveyance System, Terminal Tank Farm Relocation to Rialto, California",DOE,FE,1978,Petroleum Reserves,Completed,"EIS-0020-D, Department of Navy Final EIS: Crude Oil Transport from Naval Petroleum Reserve No. 1, Tupman, California Elk Hills/SOHIO Pipeline Connection Conveyance System (September 1977) (Vol 2, Comments and Responses)",EIS,DOE_EIS_020/EIS-0020_D-volume2_Sept_1977.pdf
EIS-0020,"Crude Oil Transport Alternate From Naval Petroleum Reserve No. 1 Elk Hills/SOHIO Pipeline Connection Conveyance System, Terminal Tank Farm Relocation to Rialto, California",DOE,FE,1978,Petroleum Reserves,Completed,"EIS-0020-D, volume 1 (May 1978)",EIS,DOE_EIS_020/EIS-0020_D-volume1_May_1978.pdf
EIS-0020,"Crude Oil Transport Alternate From Naval Petroleum Reserve No. 1 Elk Hills/SOHIO Pipeline Connection Conveyance System, Terminal Tank Farm Relocation to Rialto, California",DOE,FE,1978,Petroleum Reserves,Completed,"EIS-0020-D, volume 2 (May 1978)",EIS,DOE_EIS_020/EIS-0020_D-volume2_May_1978.pdf
EIS-0020,"Crude Oil Transport Alternate From Naval Petroleum Reserve No. 1 Elk Hills/SOHIO Pipeline Connection Conveyance System, Terminal Tank Farm Relocation to Rialto, California",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0020-F (June 1978),EIS,DOE_EIS_020/EIS-0020_F-June_1978.pdf
EIS-0021,"Strategic Petroleum Reserve, Seaway Group Salt Domes, Brazoria County, Texas (also see EIS-0075-S and EIS-0029)",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0021-FEIS-Volume_1.pdf,EIS,DOE_EIS_021/EIS-0021-FEIS-Volume_1.pdf
EIS-0021,"Strategic Petroleum Reserve, Seaway Group Salt Domes, Brazoria County, Texas (also see EIS-0075-S and EIS-0029)",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0021-FEIS-Volume_2.pdf,EIS,DOE_EIS_021/EIS-0021-FEIS-Volume_2.pdf
EIS-0021,"Strategic Petroleum Reserve, Seaway Group Salt Domes, Brazoria County, Texas (also see EIS-0075-S and EIS-0029)",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0021-FEIS-Volume_3.pdf,EIS,DOE_EIS_021/EIS-0021-FEIS-Volume_3.pdf
EIS-0023,"Long-Term Management of Defense High-Level Radioactive Wastes (Research and Development Program for Immobilization) Savannah River Plant, Aiken, South Carolina",DOE,NNSA,1979,High Level Waste,Completed,EIS-0023: Record of Decision ,EIS,DOE_EIS_022/EIS-0023-ROD-1980.pdf
EIS-0023,"Long-Term Management of Defense High-Level Radioactive Wastes (Research and Development Program for Immobilization) Savannah River Plant, Aiken, South Carolina",DOE,NNSA,1979,High Level Waste,Completed,EIS-0023-FEIS-1979.pdf,EIS,DOE_EIS_022/EIS-0023-FEIS-1979.pdf
EIS-0023,"Long-Term Management of Defense High-Level Radioactive Wastes (Research and Development Program for Immobilization) Savannah River Plant, Aiken, South Carolina",DOE,NNSA,1979,High Level Waste,Completed,EIS-0023-FEIS-Figures-1979.pdf,EIS,DOE_EIS_022/EIS-0023-FEIS-Figures-1979.pdf
EIS-0023,"Long-Term Management of Defense High-Level Radioactive Wastes (Research and Development Program for Immobilization) Savannah River Plant, Aiken, South Carolina",DOE,NNSA,1979,High Level Waste,Completed,EIS-0023-FEIS-Tables-1979.pdf,EIS,DOE_EIS_022/EIS-0023-FEIS-Tables-1979.pdf
EIS-0024,"Strategic Petroleum Reserve, Capline Group Salt Domes, Iberia, Napoleonville, Weeks Island Expansion, Bayou Choctaw Expansion, Chacahoula - Iberia, Iberville, and Lafourche Parishes, Louisiana",DOE,FE,1978,Petroleum Reserves,Completed,"EIS-0024: Final Environmental Impact Statement, volume 1",EIS,DOE_EIS_023/EIS-0024_FEIS-volume1.pdf
EIS-0024,"Strategic Petroleum Reserve, Capline Group Salt Domes, Iberia, Napoleonville, Weeks Island Expansion, Bayou Choctaw Expansion, Chacahoula - Iberia, Iberville, and Lafourche Parishes, Louisiana",DOE,FE,1978,Petroleum Reserves,Completed,"EIS-0024: Final Environmental Impact Statement, volume 2",EIS,DOE_EIS_023/EIS-0024_FEIS-volume2.pdf
EIS-0024,"Strategic Petroleum Reserve, Capline Group Salt Domes, Iberia, Napoleonville, Weeks Island Expansion, Bayou Choctaw Expansion, Chacahoula - Iberia, Iberville, and Lafourche Parishes, Louisiana",DOE,FE,1978,Petroleum Reserves,Completed,"EIS-0024: Final Environmental Impact Statement, volume 3",EIS,DOE_EIS_023/EIS-0024_FEIS-volume3.pdf
EIS-0024,"Strategic Petroleum Reserve, Capline Group Salt Domes, Iberia, Napoleonville, Weeks Island Expansion, Bayou Choctaw Expansion, Chacahoula - Iberia, Iberville, and Lafourche Parishes, Louisiana",DOE,FE,1978,Petroleum Reserves,Completed,"EIS-0024: Final Environmental Impact Statement, volume 4",EIS,DOE_EIS_023/EIS-0024_FEIS-volume4.pdf
EIS-0025,"Miles City-New Underwood 230-kV Electrical Transmission Line, Montana, North Dakota, and South Dakota",DOE,WAPA,1979,Electric Transmission,Completed,EIS-0025: Final Environmental Impact Statement,EIS,DOE_EIS_024/EIS-0025-FEIS.pdf
EIS-0026,"Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1980,Waste Management,Completed,EIS-0026: Record of Decision,EIS,DOE_EIS_025/EIS-0026-ROD-1981.pdf
EIS-0026,"Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1980,Waste Management,Completed,"EIS-0026: Final Environmental Impact Statement, Volume 1",EIS,DOE_EIS_025/EIS-0026_FEIS-volume1.pdf
EIS-0026,"Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1980,Waste Management,Completed,"EIS-0026: Final Environmental Impact Statement, Volume 2",EIS,DOE_EIS_025/EIS-0026_FEIS-volume2.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report,EIS,DOE_EIS_026/WIPP_2018_Annual_Mitigation_Report.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/WIPP_2018_Annual_Mitigation_Report.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report ,EIS,DOE_EIS_026/EIS-0026-MAP-2017.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/EIS-0026-MAP-2017.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report,EIS,DOE_EIS_026/2016%20Annual%20Mitigation%20Action%20Report%20-%20WIPP.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/2016%20Annual%20Mitigation%20Action%20Report%20-%20WIPP.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report,EIS,DOE_EIS_026/EIS-0026%20Mitigation%20Report%20-%202015.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/EIS-0026%20Mitigation%20Report%20-%202015.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report,EIS,DOE_EIS_026/EIS-0026-MAP-2014.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/EIS-0026-MAP-2014.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report,EIS,DOE_EIS_026/EIS-0026-AMR-2013.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/EIS-0026-AMR-2013.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report ,EIS,DOE_EIS_026/WIPPAnnualMitigationReport-2012_0.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/WIPPAnnualMitigationReport-2012_0.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: Annual Mitigation Report,EIS,DOE_EIS_026/EIS-0026-Mitigation_Report-2011.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/EIS-0026-Mitigation_Report-2011.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: 2010 Annual Mitigation Report,EIS,DOE_EIS_026/EIS-0026-Mitigation_Report-2010.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/EIS-0026-Mitigation_Report-2010.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,EIS-0026: 2009 Annual Mitigation Report,EIS,DOE_EIS_026/EIS-0026-Mitigation_Report-2009.pdf
EIS-0026-S1,"Supplemental Environmental Impact Statement Waste Isolation Pilot Plant (WIPP), Carlsbad, New Mexico",DOE,EM,1990,Waste Management,Completed,Learn More,EIS,DOE_EIS_026/EIS-0026-Mitigation_Report-2009.pdf
EIS-0026-S2,"Waste Isolation Pilot Plant Disposal Phase, Carlsbad, New Mexico",DOE,EM,1997,Waste Management,Completed,NRC Environmental Assessment and Finding of No Significant Impact; Issuance,EIS,DOE_EIS_027/nrc-ea-fonsi-issuance-wcs-2018-12-18.pdf
EIS-0026-S2,"Waste Isolation Pilot Plant Disposal Phase, Carlsbad, New Mexico",DOE,EM,1997,Waste Management,Completed,EIS-0026-SA-11: Supplement Analysis ,EIS,DOE_EIS_027/EIS-0026-SA11-2017.pdf
EIS-0026-S2,"Waste Isolation Pilot Plant Disposal Phase, Carlsbad, New Mexico",DOE,EM,1997,Waste Management,Completed,EIS-0026-SA-10: Supplement Analysis,EIS,DOE_EIS_027/EIS-0026-SA10-2016.pdf
EIS-0026-S2,"Waste Isolation Pilot Plant Disposal Phase, Carlsbad, New Mexico",DOE,EM,1997,Waste Management,Completed,EIS-0026-SA-09: Supplement Analysis,EIS,DOE_EIS_027/EIS-0026-SA-09-2014v2.pdf
EIS-0028,"Lawrence Livermore National Laboratory and Sandia National Laboratories - Livermore Sites, Livermore, CA",DOE,NNSA,1982,DOE Site Operations,Completed,EIS-0028: Final Environmental Impact Statement,EIS,DOE_EIS_028/EIS-0028-FEIS.pdf
EIS-0029,"Strategic Petroleum Reserve, Texoma Group Salt Domes, Cameron and Calcasieu Parishes, Louisiana and Jefferson County, TX",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0029-FEIS-volume1.pdf,EIS,DOE_EIS_029/EIS-0029-FEIS-volume1.pdf
EIS-0029,"Strategic Petroleum Reserve, Texoma Group Salt Domes, Cameron and Calcasieu Parishes, Louisiana and Jefferson County, TX",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0029-FEIS-volume2.pdf,EIS,DOE_EIS_029/EIS-0029-FEIS-volume2.pdf
EIS-0029,"Strategic Petroleum Reserve, Texoma Group Salt Domes, Cameron and Calcasieu Parishes, Louisiana and Jefferson County, TX",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0029-FEIS-volume3.pdf,EIS,DOE_EIS_029/EIS-0029-FEIS-volume3.pdf
EIS-0029,"Strategic Petroleum Reserve, Texoma Group Salt Domes, Cameron and Calcasieu Parishes, Louisiana and Jefferson County, TX",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0029-FEIS-volume4.pdf,EIS,DOE_EIS_029/EIS-0029-FEIS-volume4.pdf
EIS-0029,"Strategic Petroleum Reserve, Texoma Group Salt Domes, Cameron and Calcasieu Parishes, Louisiana and Jefferson County, TX",DOE,FE,1978,Petroleum Reserves,Completed,EIS-0029-FEIS-volume5.pdf,EIS,DOE_EIS_029/EIS-0029-FEIS-volume5.pdf
EIS-0030,'Bonneville Power Administration''s Proposed FY 1980 Program',DOE,BPA,1981,Electric Transmission,Completed,EIS-0030: Final Environmental Impact Statement,EIS,DOE_EIS_030/EIS-0030-FEIS.pdf
EIS-0030-S,"Bonneville Power Administration Proposed FY 1980 Program, Facility Location Supplement, Northwest Montana/North Idaho Support and Libby Integration, Supplemental",DOE,BPA,1981,Electric Transmission,Completed,EIS-0030-S: Final Supplemental Environmental Impact Statement,EIS,DOE_EIS_031/EIS-0030_FSEIS-1.pdf
EIS-0031,Bonneville Power Administration 1979 Wholesale Rate Increase,DOE,BPA,1979,Electric Transmission,Completed,EIS-0031: Final Environmental Impact Statement,EIS,DOE_EIS_032/EIS-0031-FEIS.pdf
EIS-0032,"500 kV International Transmission Line NSP-TR-1, Forbes, Minnesota to Manitoba, Canada, Northern States Power Company",DOE,ERA,1979,Electric Transmission,Completed,EIS-0032: Final Environmental Impact Statement,EIS,DOE_EIS_033/EIS-0032_FEIS.pdf
EIS-0033,Powerplant Conversions to Coal in the State of Florida,DOE,ERA,,Coal,Canceled,EIS-0033: Notice of Withdrawal,EIS,DOE_EIS_034/EIS-0033-NOIwithdrawal-1985-08-26.pdf
EIS-0033,Powerplant Conversions to Coal in the State of Florida,DOE,ERA,,Coal,Canceled,EIS-0033: Notice of Intent,EIS,DOE_EIS_034/EIS-0033-NOI-1982-04-07.pdf
EIS-0034,"Strategic Petroleum Reserve, Expansion of Reserve, Supplemental",DOE,FE,1979,Petroleum Reserves,Completed,EIS-0034: Final Supplemental Environmental Impact Statement to FEA-FES-76-2,EIS,DOE_EIS_035/EIS-0034-SEIS.pdf
EIS-0036,"Coal Conversion Program, New England Power Company, Brayton Point Generating Station Plants 1, 2 and 3, Sommerset, Bristol County, Massachusetts",DOE,ERA,1979,Coal,Completed,EIS-0036: Final Environmental Impact Statement,EIS,DOE_EIS_037/EIS-0036_FEIS.pdf
EIS-0038,Fuel Use Act,DOE,ERA,1979,Uncategorized,Completed,EIS-0038: Final Environmental Impact Statement,EIS,DOE_EIS_038/EIS-0038_FEIS.pdf
EIS-0039,Motor Gasoline Deregulation and the Gasoline Tilt,DOE,ERA,1979,Uncategorized,Completed,EIS-0039-FEIS-volume1.pdf,EIS,DOE_EIS_039/EIS-0039-FEIS-volume1.pdf
EIS-0039,Motor Gasoline Deregulation and the Gasoline Tilt,DOE,ERA,1979,Uncategorized,Completed,EIS-0039-FEIS-volume2.pdf,EIS,DOE_EIS_039/EIS-0039-FEIS-volume2_0.pdf
EIS-0046,"Management of Commercially Generated Radioactive Waste, Washington, D.C.",DOE,NE,1980,Waste Management,Completed,EIS-0046: Record of Decision,EIS,DOE_EIS_043/EIS-0046-ROD-1981.pdf
EIS-0046,"Management of Commercially Generated Radioactive Waste, Washington, D.C.",DOE,NE,1980,Waste Management,Completed,EIS-0046: Final Environmental Impact Statement,EIS,DOE_EIS_043/EIS-0046-FEIS-1980.pdf
EIS-0048-S,"Bonneville Power Administration Proposed FY 1976 Program Facility Location, Okanogan Area Service, Douglas and Okanogan Counties, WA, Supplemental",DOE,BPA,1980,Electric Transmission,Completed,EIS-0048-S: Final Supplemental Environmental Impact Statement to FES-75-79,EIS,DOE_EIS_044/EIS-0048-S.pdf
EIS-0049,"Geothermal Demonstration Program 50-MW Power Plant-Baca Ranch, Sandoval and Rio Arriba Counties, New Mexico",DOE,EERE,1980,Geothermal,Completed,EIS-0049: Final Environmental Impact Statement,EIS,DOE_EIS_045/EIS-0049-FEIS.pdf
EIS-0050,Residential Conservation Service Program,DOE,EERE,1979,Energy Efficiency,Completed,EIS-0050: Final Environmental Impact Statement,EIS,DOE_EIS_046/EIS-0050-FEIS.pdf
EIS-0050-S,"Commercial and Apartment Conservation Service Program, Supplemental",DOE,EERE,1983,Energy Efficiency,Completed,EIS-0050-S: Final Supplemental Impact Statement,EIS,DOE_EIS_047/EIS-0050_SEIS.pdf
EIS-0060,Bonneville Power Administration Proposed FY 1981 Program,DOE,BPA,1980,Electric Transmission,Completed,EIS-0060: Final Environmental Impact Statement,EIS,DOE_EIS_048/EIS-0060_FEIS.pdf
EIS-0061,Energy Performance Standards for New Buildings,DOE,EERE,,Energy Efficiency,On Hold,EIS-0061: Supplement to the Draft Environmental Impact Statement,EIS,DOE_EIS_049/EIS-0061-SupplementToTheDraft.pdf
EIS-0062,"Double-Shell Tanks for Defense High Level Waste Storage, Savannah River Site, Aiken, SC",DOE,NNSA,1980,High Level Waste,Completed,EIS-0062: Final Environmental Impact Statement,EIS,DOE_EIS_050/EIS-0062-FEIS-1980.pdf
EIS-0063,"Waste Management Operations, Double-Shell Tanks for Defense High-Level Radioactive Waste Storage, Hanford Site, Richland, Washington",DOE,NNSA,1980,High Level Waste,Completed,EIS-0063: Final Environmental Impact Statement,EIS,DOE_EIS_051/EIS-0063-FEIS.pdf
EIS-0063,"Waste Management Operations, Double-Shell Tanks for Defense High-Level Radioactive Waste Storage, Hanford Site, Richland, Washington",DOE,NNSA,1980,High Level Waste,Completed,EIS-0063: Draft Environmental Impact Statement,EIS,DOE_EIS_051/EIS-0063-DEIS.pdf
EIS-0064,"Rocky Flats Plant Site, Jefferson County, Golden, Colorado (see also ERDA-1545-D)",DOE,NNSA,1980,DOE Site Operations,Completed,"EIS-0064: Final Environmental Impact Statement, volume 1",EIS,DOE_EIS_052/EIS-0064_FEIS-volume1.pdf
EIS-0064,"Rocky Flats Plant Site, Jefferson County, Golden, Colorado (see also ERDA-1545-D)",DOE,NNSA,1980,DOE Site Operations,Completed,"EIS-0064: Final Environmental Impact Statement, volume 2",EIS,DOE_EIS_052/EIS-0064_FEIS-volume2.pdf
EIS-0064,"Rocky Flats Plant Site, Jefferson County, Golden, Colorado (see also ERDA-1545-D)",DOE,NNSA,1980,DOE Site Operations,Completed,"EIS-0064: Final Environmental Impact Statement, volume 3",EIS,DOE_EIS_052/EIS-0064_FEIS-volume3.pdf
EIS-0065,Review & Establishment of Natural Gas Curtailment Priorities,DOE,ERA,1980,Natural Gas,Completed,EIS-0065: Final Environmental Impact Statement,EIS,DOE_EIS_053/EIS-0065-FEIS.pdf
EIS-0066,The Role of Bonneville Power Administration in the Pacific Northwest Power Supply System - including its Participation in a Hydro-Thermal Power Program,DOE,BPA,1980,Electric Transmission,Completed,EIS-0066: Final Environmental Impact Statement,EIS,DOE_EIS_054/EIS-0066_FEIS.pdf
