,Unnamed: 0,Unnamed: 0.1,Title,Document,EPA Comment Letter Date,Federal Register Date,Agency,State,name,normalized_agency,new_name,normalized,new_Agency
43,43,43,"Air Force Proposal To Improve F-22 Operational Efficiency at Joint Base Elmendorf-Richardson (JBER), Alaska",Draft,9/15/17,8/4/17,United States Air Force,AK,EisDocuments-236673;CommentLetters-236673,USAF,EisDocuments-236673,usaf,United States Air Force
44,44,44,Aiya Solar Project,Final,7/6/16,6/10/16,Bureau of Indian Affairs,NV,EisDocuments-209386;CommentLetters-209386,BoIA,EisDocuments-209386,boia,Bureau of Indian Affairs
45,45,45,Ala Wai Canal Project,Draft,11/9/15,9/25/15,U.S. Army Corps of Engineers,HI,EisDocuments-177382;CommentLetters-177382,UACoE,EisDocuments-177382,uacoe,US Army Corps of Engineers
46,46,46,Alaska Stand Alone Gas Pipeline Construction and Operation of a 737 mile Pipeline to Transport Supply of Natural Gas and Natural Gas Liquids from Alaska's North Slope to Fairbanks Anchorage and the Cook Inlet Area by 2019 USACE Section 10 and 404 Permits NPDES Permit AK,Final,11/21/12,10/26/12,U.S. Army Corps of Engineers,AK,EisDocuments-84573;CommentLetters-84573,UACoE,EisDocuments-84573,uacoe,US Army Corps of Engineers
47,47,47,Alaska Stand Alone Pipeline Project,Draft Supplement,8/29/17,6/30/17,U.S. Army Corps of Engineers,AK,EisDocuments-234672;CommentLetters-234672,UACoE,EisDocuments-234672,uacoe,US Army Corps of Engineers
48,48,48,Alaska Stand Alone Pipeline Project,Final Supplement,7/18/18,6/22/18,U.S. Army Corps of Engineers,AK,EisDocuments-251645;CommentLetters-251645,UACoE,EisDocuments-251645,uacoe,US Army Corps of Engineers
49,49,49,Alcatraz Ferry Embarkation,Draft,0,2/27/15,National Park Service,CA,EisDocuments-89253,NPS,EisDocuments-89253,nps,National Park Service
50,50,50,Alcatraz Ferry Embarkation,Final,2/10/17,1/23/17,National Park Service,CA,EisDocuments-227172;CommentLetters-227172,NPS,EisDocuments-227172,nps,National Park Service
51,51,51,Algonquin Incremental Market Project,Draft,9/29/14,8/15/14,Federal Energy Regulatory Commission,Multi,EisDocuments-88016;CommentLetters-88016,FERC,EisDocuments-88016,ferc,Federal Energy Regulatory Commission
52,52,52,Algonquin Incremental Market Project,Final,3/2/15,1/30/15,Federal Energy Regulatory Commission,CT,EisDocuments-89232;CommentLetters-89232,FERC,EisDocuments-89232,ferc,Federal Energy Regulatory Commission
53,53,53,"Aliso Creek Mainstem Ecosystem Restoration Study, Environmental Impact Statement",Draft,11/28/17,9/29/17,U.S. Army Corps of Engineers,CA,EisDocuments-239457;CommentLetters-239457,UACoE,EisDocuments-239457,uacoe,US Army Corps of Engineers
54,54,54,Alkali Creek Reservoir Project,Draft,11/19/18,8/31/18,Bureau of Land Management,WY,EisDocuments-256446;CommentLetters-256446,BoLM,EisDocuments-256446,bolm,Bureau of Land Management
55,55,55,All Aboard Florida Intercity Passenger Rail Project Orlando to Miami FL,Draft,12/3/14,9/26/14,Federal Railroad Administration,FL,EisDocuments-88320;CommentLetters-88320,FRA,EisDocuments-88320,fra,Federal Railroad Administration
56,56,56,"All Aboard Florida Intercity Passenger Rail Project Orlando to Miami, Florida",Final,0,8/21/15,Federal Railroad Administration,FL,EisDocuments-174246;CommentLetters-174246,FRA,EisDocuments-174246,fra,Federal Railroad Administration
57,57,57,Allotment Management Planning in the Fall River West and Oglala Geographic Areas,Final,12/4/13,11/15/13,Forest Service,NE,EisDocuments-88291;CommentLetters-88291,FS,EisDocuments-88291,fs,Forest Service
58,58,58,Alpine Satellite Development Plan GMT1 Development Project,Draft Supplement,4/21/14,2/21/14,Bureau of Land Management,AK,EisDocuments-87880;CommentLetters-87880,BoLM,EisDocuments-87880,bolm,Bureau of Land Management
59,59,59,Alpine Satellite Development Plan for the Proposed Greater Mooses Tooth 2 Development Project,Draft Supplement,5/14/18,3/23/18,Bureau of Land Management,AK,EisDocuments-246541;CommentLetters-246541,BoLM,EisDocuments-246541,bolm,Bureau of Land Management
60,60,60,Alpine Satellite Development Plan for the Proposed Greater Mooses Tooth 2 Development Project,Final,9/27/18,8/31/18,Bureau of Land Management,AK,EisDocuments-256362;CommentLetters-256362,BoLM,EisDocuments-256362,bolm,Bureau of Land Management
61,61,61,Alpine Satellite Development Plan for the Proposed Greater Mooses Tooth One Development Project,Final Supplement,12/8/14,11/7/14,Bureau of Land Management,AK,EisDocuments-88482;CommentLetters-88482,BoLM,EisDocuments-88482,bolm,Bureau of Land Management
62,62,62,Alta East Wind Project Proposed Plan Amendment,Final,3/18/13,2/15/13,Bureau of Land Management,CA,EisDocuments-88861;CommentLetters-88861,BoLM,EisDocuments-88861,bolm,Bureau of Land Management
63,63,63,Alton Coal Tract Lease By Application,Final,8/20/18,7/20/18,Bureau of Land Management,UT,EisDocuments-253488;CommentLetters-253488,BoLM,EisDocuments-253488,bolm,Bureau of Land Management
64,64,64,Alton Coal Tract Lease by Application,Draft Supplement,9/10/15,6/12/15,Bureau of Land Management,UT,EisDocuments-171664;CommentLetters-171664,BoLM,EisDocuments-171664,bolm,Bureau of Land Management
65,65,65,Amending the Atlantic Large Whale Take Reduction Plan Vertical Line Rule,Draft,9/12/13,7/12/13,National Oceanic and Atmospheric Administration,Multi,EisDocuments-88385;CommentLetters-88385,NOaAA,EisDocuments-88385,noaaa,National Oceanic and Atmospheric Administration
66,66,66,Amending the Atlantic Large Whale Take Reduction Plan Vertical Line Rule,Final,6/16/14,5/16/14,National Marine Fisheries Service,Multi,EisDocuments-88316;CommentLetters-88316,NMFS,EisDocuments-88316,nmfs,National Marine Fisheries Service
67,67,67,Amendment 11 to the Fishery Management Plan for Spiny Lobster Establish Trap Line Marking Requirements and Closed Areas to Protect Coral Species Gulf of Mexico and South Atlantic Regions,Final Supplement,5/22/12,5/4/12,National Oceanic and Atmospheric Administration,0,EisDocuments-81167;CommentLetters-81167,NOaAA,EisDocuments-81167,noaaa,National Oceanic and Atmospheric Administration
68,68,68,Amendment 16 to the Fishery Management Plan for the Shrimp Fishery of the Gulf of Mexico U.S. Waters,Final Supplement,1/21/15,1/16/15,National Marine Fisheries Service,FL,EisDocuments-89178;CommentLetters-89178,NMFS,EisDocuments-89178,nmfs,National Marine Fisheries Service
69,69,69,Amendment 18 to the Northeast Multispecies Fishery Management Plan,Draft,8/31/15,7/17/15,National Oceanic and Atmospheric Administration,MA,EisDocuments-172708;CommentLetters-172708,NOaAA,EisDocuments-172708,noaaa,National Oceanic and Atmospheric Administration
70,70,70,Amendment 18 to the Northeast Multispecies Fishery Management Plan,Final,11/14/16,10/14/16,National Marine Fisheries Service,Multi,EisDocuments-219023;CommentLetters-219023,NMFS,EisDocuments-219023,nmfs,National Marine Fisheries Service
71,71,71,"Amendment 37 to the Fishery Management Plan for the Snapper-Grouper Fishery of the South Atlantic Region, Modification to the Hogfish Fishery Management Unit, Fishing Level Specifications for the Two South Atlantic Hogfish Stocks, Rebuilding Plan for the Florida Keys/East Florida Stock, and Establishment/Revision of Management Measures for Both Stocks",Draft,7/26/16,6/17/16,National Oceanic and Atmospheric Administration,Multi,EisDocuments-210127;CommentLetters-210127,NOaAA,EisDocuments-210127,noaaa,National Oceanic and Atmospheric Administration
72,72,72,Amendment 5 to the Atlantic Herring Fishery Management Plan,Final,5/28/13,4/26/13,National Marine Fisheries Service,Multi,EisDocuments-88336;CommentLetters-88336,NMFS,EisDocuments-88336,nmfs,National Marine Fisheries Service
73,73,73,Amendment 5 to the Consolidated Atlantic Highly Migratory Species Fishery Management Plan Atlantic Ocean Caribbean Sea and Gulf of Mexico,Draft,2/12/13,12/7/12,National Marine Fisheries Service,0,EisDocuments-80274;CommentLetters-80274,NMFS,EisDocuments-80274,nmfs,National Marine Fisheries Service
74,74,74,Amendment 5a to the 2006 Consolidated Highly Migratory Species Fishery Management Plan,Final,5/28/13,4/26/13,National Marine Fisheries Service,Multi,EisDocuments-88337;CommentLetters-88337,NMFS,EisDocuments-88337,nmfs,National Marine Fisheries Service
75,75,75,Amendment 5b to the 2006 Consolidated Atlantic Highly Migratory Species Fishery Management Plan,Draft,12/21/16,10/21/16,National Marine Fisheries Service,Multi,EisDocuments-219246;CommentLetters-219246,NMFS,EisDocuments-219246,nmfs,National Marine Fisheries Service
76,76,76,Amendment 7 to the 2006 Consolidated Atlantic Highly Migratory Species (HMS) Fishery Management Plan (FMP),Draft,12/6/13,8/30/13,National Oceanic and Atmospheric Administration,0,EisDocuments-88387;CommentLetters-88387,NOaAA,EisDocuments-88387,noaaa,National Oceanic and Atmospheric Administration
77,77,77,Amendment 8 to the Atlantic Herring Fishery Management Plan,Draft,6/21/18,5/11/18,National Marine Fisheries Service,Multi,EisDocuments-249449;CommentLetters-249449,NMFS,EisDocuments-249449,nmfs,National Marine Fisheries Service
78,78,78,American River Common Features General Reevaluation Report Environmental Impact Statement/Environmental Impact Report,Final,2/22/16,1/22/16,U.S. Army Corps of Engineers,CA,EisDocuments-186329;CommentLetters-186329,UACoE,EisDocuments-186329,uacoe,US Army Corps of Engineers
79,79,79,Anacostia Park Wetlands and Resident Canada Goose Management Plan,Final,1/15/15,12/19/14,National Park Service,DC,EisDocuments-89157;CommentLetters-89157,NPS,EisDocuments-89157,nps,National Park Service
80,80,80,Analyze Impacts of NOAA's National Marine Fisheries Service Proposed 4(d) Determination under Limit 6 for Five Early Winter Steelhead Hatchery Programs in Puget Sound,Draft,12/21/15,11/13/15,National Oceanic and Atmospheric Administration,WA,EisDocuments-182041;CommentLetters-182041,NOaAA,EisDocuments-182041,noaaa,National Oceanic and Atmospheric Administration
81,81,81,Analyze Impacts of NOAA's National Marine Fisheries Service Proposed 4(d) Determination under Limit 6 for Five Early Winter Steelhead Hatchery Programs in Puget Sound,Final,4/11/16,3/11/16,National Oceanic and Atmospheric Administration,WA,EisDocuments-204893;CommentLetters-204893,NOaAA,EisDocuments-204893,noaaa,National Oceanic and Atmospheric Administration
82,82,82,Angoon Airport,Draft,3/10/15,1/9/15,Federal Aviation Administration,AK,EisDocuments-89175;CommentLetters-89175,FAA,EisDocuments-89175,faa,Federal Aviation Administration
83,83,83,Angoon Airport Project,Final,9/14/16,9/2/16,Federal Aviation Administration,AK,EisDocuments-216501;CommentLetters-216501,FAA,EisDocuments-216501,faa,Federal Aviation Administration
84,84,84,Antelope Grazing Allotments,Draft,2/2/15,12/19/14,Forest Service,OR,EisDocuments-89155;CommentLetters-89155,FS,EisDocuments-89155,fs,Forest Service
85,85,85,Antelope Grazing Allotments AMP,Final,1/8/18,11/24/17,Forest Service,OR,EisDocuments-242085;CommentLetters-242085,FS,EisDocuments-242085,fs,Forest Service
86,86,86,Antelope Valley Station to Neset Transmission Project Mercer Dunn Billings Williams McKenzie and Mountrail Counties ND,Draft,1/17/13,12/7/12,Rural Utilities Service,ND,EisDocuments-82662;CommentLetters-82662,RUS,EisDocuments-82662,rus,Rural Utilities Service
87,87,87,Antietam National Battlefield Monocacy National Battlefield Manassas National Battlefield Park Final White-tailed Deer Management Plan,Final,9/3/14,8/1/14,National Park Service,MD,EisDocuments-87892;CommentLetters-87892,NPS,EisDocuments-87892,nps,National Park Service
88,88,88,Antietam National Battlefield Monocacy National Battlefield and Manassas National Battlefield Park Draft White-tailed Deer Management Plan,Draft,9/26/13,7/26/13,National Park Service,VA,EisDocuments-88444;CommentLetters-88444,NPS,EisDocuments-88444,nps,National Park Service
89,89,89,Arctic National Wildlife Refuge Revised Comprehensive Conservation Plan,Revised Final,2/26/15,2/6/15,Fish and Wildlife Service,AK,EisDocuments-89233;CommentLetters-89233,FaWS,EisDocuments-89233,faws,Fish and Wildlife Service
90,90,90,Arecibo Observatory,Final,0,8/4/17,National Science Foundation,PR,EisDocuments-236647,NSF,EisDocuments-236647,nsf,National Science Foundation
91,91,91,Arecibo Waste-to-Energy and Resource Recovery Project,Draft,11/23/15,8/14/15,Rural Utilities Service,PR,EisDocuments-174181;CommentLetters-174181,RUS,EisDocuments-174181,rus,Rural Utilities Service
92,92,92,Arecibo Waste-to-Energy and Resource Recovery Project,Final,3/6/17,2/3/17,Rural Utilities Service,PR,EisDocuments-227666;CommentLetters-227666,RUS,EisDocuments-227666,rus,Rural Utilities Service
93,93,93,Arizona Passenger Rail Corridor Study: Tucson to Phoenix Tier 1 Draft Environmental Impact Statement,Draft,5/18/15,9/11/15,Federal Railroad Administration,AZ,EisDocuments-176518;CommentLetters-176518,FRA,EisDocuments-176518,fra,Federal Railroad Administration
94,94,94,Armed Forces Retirement Home Master Plan Update,Draft Supplement,1/12/18,11/24/17,Armed Forces Retirement Home,DC,EisDocuments-242187;CommentLetters-242187,AFRH,EisDocuments-242187,afrh,Armed Forces Retirement Home
95,95,95,Assateague Island National Seashore General Management Plan,Draft,0,1/29/16,National Park Service,Multi,EisDocuments-186615;CommentLetters-186615,NPS,EisDocuments-186615,nps,National Park Service
96,96,96,Atlanta to Chattanooga High Speed Ground Transportation Project,Draft,11/15/16,10/7/16,Federal Railroad Administration,Multi,EisDocuments-218241;CommentLetters-218241,FRA,EisDocuments-218241,fra,Federal Railroad Administration
97,97,97,Atlanta-Chattanooga High Speed Ground Transportation Project,Final,10/24/17,9/29/17,Federal Railroad Administration,Multi,EisDocuments-239097;CommentLetters-239097,FRA,EisDocuments-239097,fra,Federal Railroad Administration
98,98,98,Atlantic Coast Pipeline and Supply Header Project,Draft,4/6/17,1/6/17,Federal Energy Regulatory Commission,Multi,EisDocuments-225829;CommentLetters-225829,FERC,EisDocuments-225829,ferc,Federal Energy Regulatory Commission
99,99,99,Atlantic Coast Pipeline and Supply Header Project,Final,8/28/17,7/28/17,Federal Energy Regulatory Commission,Multi,EisDocuments-236391;CommentLetters-236391,FERC,EisDocuments-236391,ferc,Federal Energy Regulatory Commission
100,100,100,"Atlantic Coast of New York, East Rockaway Inlet to Rockaway Inlet and Jamaica Bay",Draft,11/17/16,9/2/16,U.S. Army Corps of Engineers,NY,EisDocuments-216771;CommentLetters-216771,UACoE,EisDocuments-216771,uacoe,US Army Corps of Engineers
101,101,101,Atlantic Fleet Training and Testing,Draft,8/25/17,6/30/17,United States Navy,Multi,EisDocuments-235003;CommentLetters-235003,USN,EisDocuments-235003,usn,United States Navy
102,102,102,Atlantic Fleet Training and Testing,Final,0,9/14/18,United States Navy,Multi,EisDocuments-257341,USN,EisDocuments-257341,usn,United States Navy
103,103,103,Atlantic Fleet Training and Testing,Final,9/26/13,8/30/13,United States Navy,0,EisDocuments-88407,USN,EisDocuments-88407,usn,United States Navy
104,104,104,Atlantic Sunrise Project,Final,2/6/17,1/6/17,Federal Energy Regulatory Commission,Multi,EisDocuments-225860;CommentLetters-225860,FERC,EisDocuments-225860,ferc,Federal Energy Regulatory Commission
105,105,105,Authorization for Incidental Take and Implementation of the Stanford University Habitat Conservation Plan San Mateo and Santa Clara Counties CA,Final,12/17/12,11/23/12,National Oceanic and Atmospheric Administration,CA,EisDocuments-81198,NOaAA,EisDocuments-81198,noaaa,National Oceanic and Atmospheric Administration
106,106,106,Authorization of Incidental Take and Implementation of the Mendocino Redwood Habitat Conservation Plan/Natural Community Conservation and Timber Management Plan Medocino County CA,Draft,4/22/13,11/23/12,National Oceanic and Atmospheric Administration,CA,EisDocuments-81199;CommentLetters-81199,NOaAA,EisDocuments-81199,noaaa,National Oceanic and Atmospheric Administration
107,107,107,BEH Rangeland Allotments,Draft,3/17/14,1/31/14,Forest Service,CA,EisDocuments-87824;CommentLetters-87824,FS,EisDocuments-87824,fs,Forest Service
108,108,108,BP Cherry Point Dock,Draft,8/6/14,6/6/14,U.S. Army Corps of Engineers,WA,EisDocuments-87724,UACoE,EisDocuments-87724,uacoe,US Army Corps of Engineers
109,109,109,BP Cherry Point Dock,Draft,8/6/14,6/6/14,U.S. Army Corps of Engineers,WA,EisDocuments-87780;CommentLetters-87780,UACoE,EisDocuments-87780,uacoe,US Army Corps of Engineers
110,110,110,BWCAW Non-native Invasive Plant Management Project,Final,10/30/13,8/30/13,Forest Service,MN,EisDocuments-88194;CommentLetters-88194,FS,EisDocuments-88194,fs,Forest Service
111,111,111,Backcountry Management Plan Grand Canyon National Park,Draft,4/1/16,12/11/15,National Park Service,AZ,EisDocuments-184026;CommentLetters-184026,NPS,EisDocuments-184026,nps,National Park Service
112,112,112,Bailey Aeneas Revis and Tunk C & H Livestock Grazing Analysis,Draft,5/27/14,4/11/14,Forest Service,WA,EisDocuments-88159;CommentLetters-88159,FS,EisDocuments-88159,fs,Forest Service
113,113,113,Bailey Aeneas Revis and Tunk Livestock Grazing Analysis,Final,9/23/14,8/22/14,Forest Service,WA,EisDocuments-88064;CommentLetters-88064,FS,EisDocuments-88064,fs,Forest Service
114,114,114,Bald Mountain Mine North and South Operations Area Project,Final,7/25/16,6/24/16,Bureau of Land Management,NV,EisDocuments-210598;CommentLetters-210598,BoLM,EisDocuments-210598,bolm,Bureau of Land Management
115,115,115,Bald Mountain Mine North and South Operations Area Projects,Draft,10/13/15,8/14/15,Bureau of Land Management,NV,EisDocuments-174396;CommentLetters-174396,BoLM,EisDocuments-174396,bolm,Bureau of Land Management
116,116,116,Ballona Wetlands Restoration Project,Draft,2/1/18,10/6/17,U.S. Army Corps of Engineers,CA,EisDocuments-239733;CommentLetters-239733,UACoE,EisDocuments-239733,uacoe,US Army Corps of Engineers
117,117,117,Ballville Dam Project,Draft,3/26/14,1/24/14,Fish and Wildlife Service,OH,EisDocuments-87822;CommentLetters-87822,FaWS,EisDocuments-87822,faws,Fish and Wildlife Service
118,118,118,Ballville Dam Project,Final,9/8/14,8/1/14,Fish and Wildlife Service,OH,EisDocuments-87946;CommentLetters-87946,FaWS,EisDocuments-87946,faws,Fish and Wildlife Service
119,119,119,Basing of MV-22 and H-1 Aircraft in Support of III Marine Expeditionary Force (MEF) Elements Construction and Renovation of Facilities to Accommodate and Maintain the Squadrons HI,Final,7/16/12,6/8/12,United States Navy,HI,EisDocuments-88589;CommentLetters-88589,USN,EisDocuments-88589,usn,United States Navy
120,120,120,Baton Rouge Loop Tier 1,Final,2/26/16,1/22/16,Federal Highway Administration,LA,EisDocuments-185590;CommentLetters-185590,FHA,EisDocuments-185590,fha,Federal Highway Administration
